,id,description
0,fnd7_ointfund_21fpeo,Quarterly fundamental item : Earnings Per Share -> Diluted -> from Operations -> 12 Months Moving
1,fnd7_ointfund_21fspe,Quarterly fundamental item : Earnings Per Share (Diluted) -> Excluding Extraordinary Items -> 12 Months Moving
2,fnd7_ointfund_21speo,Quarterly fundamental item : Earnings Per Share from Operations - 12 Months Moving
3,fnd7_ointfund_21xspe,Quarterly fundamental item : Earnings Per Share (Basic) - Excluding Extraordinary Items - 12-Months Moving - Consolidated
4,fnd7_ointfund_q21hsc,Quarterly fundamental item : Common Shares Used to Calculate Earnings Per Share -> 12 Months Moving
5,fnd7_ointfund_qagsx,"Quarterly fundamental item : Selling, General, and Administrative Expense"
6,fnd7_ointfund_qbi,Quarterly fundamental item : Income Before Extraordinary Items
7,fnd7_ointfund_qbim,Quarterly fundamental item : Redeemable Noncontrolling Interest (Balance Sheet)
8,fnd7_ointfund_qcbi,Quarterly fundamental item : Income Before Extraordinary Items (Statement of Cash Flows)
9,fnd7_ointfund_qcbuse,Quarterly fundamental item : Equity in Net Loss (Earnings) (Statement of Cash Flows)
10,fnd7_ointfund_qcdxt,Quarterly fundamental item : Deferred Taxes (Statement of Cash Flows)
11,fnd7_ointfund_qcktsrp,Quarterly fundamental item : Purchase of Common and Preferred Stock (Statement of Cash Flows)
12,fnd7_ointfund_qcld,Quarterly fundamental item : Debt in current liabilities
13,fnd7_ointfund_qcodix,Quarterly fundamental item : Extraordinary Items and Discontinued Operations (Statement of Cash Flows)
14,fnd7_ointfund_qcpd,Quarterly fundamental item : Depreciation and Amortization (Statement of Cash Flows)
15,fnd7_ointfund_qcqa,Quarterly fundamental item : Acquisitions (Statement of Cash Flows)
16,fnd7_ointfund_qctidxt,Quarterly fundamental item : Deferred Taxes and Investment Tax Credit (Balance Sheet)
17,fnd7_ointfund_qdalid,Quarterly fundamental item : Dilution adjustment
18,fnd7_ointfund_qdfhsc,Quarterly fundamental item : Common Shares for Diluted EPS
19,fnd7_ointfund_qdpxt,Quarterly fundamental item : Income Taxes Paid (Statement of Cash Flows)
20,fnd7_ointfund_qehc,Quarterly fundamental item : Cash and Short-Term Investments
21,fnd7_ointfund_qektsc,Quarterly fundamental item : Common Stock Equivalents - Dollar Savings
22,fnd7_ointfund_qelas,Quarterly fundamental item : Net sales
23,fnd7_ointfund_qepps,"Quarterly fundamental item : Sale of Property, Plant, and Equipment (Statement of Cash Flows)"
24,fnd7_ointfund_qer,Quarterly fundamental item : Retained Earnings
25,fnd7_ointfund_qerxe,Quarterly fundamental item : Exchange Rate Effect (Statement of Cash Flows)
26,fnd7_ointfund_qfcnao,Quarterly fundamental item : Operating Activities -> Net Cash Flow (Statement of Cash Flows)
27,fnd7_ointfund_qfcnif,Quarterly fundamental item : Financing Activities -> Net Cash Flow (Statement of Cash Flows)
28,fnd7_ointfund_qfcnvi,Quarterly fundamental item : Investing Activities -> Net Cash Flow (Statement of Cash Flows)
29,fnd7_ointfund_qhccer,Quarterly fundamental item : Accounts Receivable -> Decrease (Increase) (Statement of Cash Flows)
30,fnd7_ointfund_qhcehc,Quarterly fundamental item : Cash and Cash Equivalents -> Increase (Decrease) (Statement of Cash Flows)
31,fnd7_ointfund_qhcoloa,Quarterly fundamental item : Assets and Liabilities -> Other (Net Change) (Statement of Cash Flows)
32,fnd7_ointfund_qhctsvi,Quarterly fundamental item : Short-Term Investments -> Change (Statement of Cash Flows)
33,fnd7_ointfund_qhcvi,Quarterly fundamental item : Increase in Investments (Statement of Cash Flows)
34,fnd7_ointfund_qhcvni,Quarterly fundamental item : Inventory -> Decrease (Increase) (Statement of Cash Flows)
35,fnd7_ointfund_qidxt,Quarterly fundamental item : Deferred Taxes (Income Account)
36,fnd7_ointfund_qifspe,Quarterly fundamental item : Earnings per Share (Diluted) -> Including Extraordinary Items
37,fnd7_ointfund_qiim,Quarterly fundamental item : Noncontrolling Interest (Income Account)
38,fnd7_ointfund_qiimbi,Quarterly fundamental item : Income Before Extraordinary Items and Noncontrolling Interests
39,fnd7_ointfund_qin,Quarterly fundamental item : Net Income (Loss)
40,fnd7_ointfund_qip,Quarterly fundamental item : Pretax income
41,fnd7_ointfund_qipon,Quarterly fundamental item : Non-operating income (expense)
42,fnd7_ointfund_qips,Quarterly fundamental item : Abandonments and Disallowances Adjustment plus Special Items
43,fnd7_ointfund_qipspe,Quarterly fundamental item : Earnings per Share (Basic) - Including Extraordinary Items
44,fnd7_ointfund_qivd,Quarterly fundamental item : Current Indic Annual Dividend
45,fnd7_ointfund_qix,Quarterly fundamental item : Extraordinary items
46,fnd7_ointfund_qjdabi,Quarterly fundamental item : Income Before Extraordinary Items -> Adjusted for Common Stock Equivalents
47,fnd7_ointfund_qktsc,Quarterly fundamental item : Common stock
48,fnd7_ointfund_qktsp,Quarterly fundamental item : Preferred Stock at Carrying Value
49,fnd7_ointfund_qktss,Quarterly fundamental item : Sale of Common and Preferred Stock (Statement of Cash Flows)
50,fnd7_ointfund_qktst,Quarterly fundamental item : Treasury Stock - Total Dollar Amount
51,fnd7_ointfund_qmocbi,Quarterly fundamental item : Income Before Extraordinary Items -> Available for Common
52,fnd7_ointfund_qnbim,Quarterly fundamental item : Nonredeamable Noncontrolling Interest (Balance Sheet)
