,id,description
6,oth455_competitor_n2v_p10_q200_w1_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
10,oth455_competitor_n2v_p10_q200_w1_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
14,oth455_competitor_n2v_p10_q200_w1_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
21,oth455_competitor_n2v_p10_q200_w2_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
25,oth455_competitor_n2v_p10_q200_w2_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
29,oth455_competitor_n2v_p10_q200_w2_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
36,oth455_competitor_n2v_p10_q200_w3_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
40,oth455_competitor_n2v_p10_q200_w3_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
44,oth455_competitor_n2v_p10_q200_w3_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
51,oth455_competitor_n2v_p10_q200_w4_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
55,oth455_competitor_n2v_p10_q200_w4_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
59,oth455_competitor_n2v_p10_q200_w4_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
66,oth455_competitor_n2v_p10_q200_w5_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
70,oth455_competitor_n2v_p10_q200_w5_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
74,oth455_competitor_n2v_p10_q200_w5_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
81,oth455_competitor_n2v_p10_q50_w1_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
85,oth455_competitor_n2v_p10_q50_w1_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
89,oth455_competitor_n2v_p10_q50_w1_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
96,oth455_competitor_n2v_p10_q50_w2_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
100,oth455_competitor_n2v_p10_q50_w2_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
104,oth455_competitor_n2v_p10_q50_w2_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
111,oth455_competitor_n2v_p10_q50_w3_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
115,oth455_competitor_n2v_p10_q50_w3_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
119,oth455_competitor_n2v_p10_q50_w3_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
126,oth455_competitor_n2v_p10_q50_w4_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
130,oth455_competitor_n2v_p10_q50_w4_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
134,oth455_competitor_n2v_p10_q50_w4_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
141,oth455_competitor_n2v_p10_q50_w5_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
145,oth455_competitor_n2v_p10_q50_w5_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
149,oth455_competitor_n2v_p10_q50_w5_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
156,oth455_competitor_n2v_p50_q200_w1_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
160,oth455_competitor_n2v_p50_q200_w1_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
164,oth455_competitor_n2v_p50_q200_w1_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
171,oth455_competitor_n2v_p50_q200_w2_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
175,oth455_competitor_n2v_p50_q200_w2_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
179,oth455_competitor_n2v_p50_q200_w2_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
186,oth455_competitor_n2v_p50_q200_w3_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
190,oth455_competitor_n2v_p50_q200_w3_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
194,oth455_competitor_n2v_p50_q200_w3_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
201,oth455_competitor_n2v_p50_q200_w4_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
205,oth455_competitor_n2v_p50_q200_w4_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
209,oth455_competitor_n2v_p50_q200_w4_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
216,oth455_competitor_n2v_p50_q200_w5_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
220,oth455_competitor_n2v_p50_q200_w5_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
224,oth455_competitor_n2v_p50_q200_w5_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
231,oth455_competitor_n2v_p50_q50_w1_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
235,oth455_competitor_n2v_p50_q50_w1_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
239,oth455_competitor_n2v_p50_q50_w1_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
246,oth455_competitor_n2v_p50_q50_w2_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
250,oth455_competitor_n2v_p50_q50_w2_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
254,oth455_competitor_n2v_p50_q50_w2_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
261,oth455_competitor_n2v_p50_q50_w3_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
265,oth455_competitor_n2v_p50_q50_w3_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
269,oth455_competitor_n2v_p50_q50_w3_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
276,oth455_competitor_n2v_p50_q50_w4_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
280,oth455_competitor_n2v_p50_q50_w4_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
284,oth455_competitor_n2v_p50_q50_w4_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
291,oth455_competitor_n2v_p50_q50_w5_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with competitor data."
295,oth455_competitor_n2v_p50_q50_w5_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with competitor data."
299,oth455_competitor_n2v_p50_q50_w5_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with competitor data."
306,oth455_competitor_roam_w1_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using ROAM with competitor data."
310,oth455_competitor_roam_w1_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using ROAM with competitor data."
314,oth455_competitor_roam_w1_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using ROAM with competitor data."
321,oth455_competitor_roam_w2_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using ROAM with competitor data."
325,oth455_competitor_roam_w2_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using ROAM with competitor data."
329,oth455_competitor_roam_w2_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using ROAM with competitor data."
336,oth455_competitor_roam_w3_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using ROAM with competitor data."
340,oth455_competitor_roam_w3_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using ROAM with competitor data."
344,oth455_competitor_roam_w3_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using ROAM with competitor data."
351,oth455_competitor_roam_w4_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using ROAM with competitor data."
355,oth455_competitor_roam_w4_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using ROAM with competitor data."
359,oth455_competitor_roam_w4_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using ROAM with competitor data."
366,oth455_competitor_roam_w5_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using ROAM with competitor data."
370,oth455_competitor_roam_w5_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using ROAM with competitor data."
374,oth455_competitor_roam_w5_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using ROAM with competitor data."
381,oth455_customer_n2v_p10_q200_w1_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with customer data."
385,oth455_customer_n2v_p10_q200_w1_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with customer data."
389,oth455_customer_n2v_p10_q200_w1_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with customer data."
396,oth455_customer_n2v_p10_q200_w2_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with customer data."
400,oth455_customer_n2v_p10_q200_w2_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with customer data."
404,oth455_customer_n2v_p10_q200_w2_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with customer data."
411,oth455_customer_n2v_p10_q200_w3_pca_fact1_value,"The 1st eigenvalue of PCA, embedded using N2V with customer data."
415,oth455_customer_n2v_p10_q200_w3_pca_fact2_value,"The 2nd eigenvalue of PCA, embedded using N2V with customer data."
419,oth455_customer_n2v_p10_q200_w3_pca_fact3_value,"The 3rd eigenvalue of PCA, embedded using N2V with customer data."
