,id,description
0,mdl194_altmanz_di,It is defined to store the date index where the data was backfilled from
1,mdl194_benchmark_fee_di,It is defined to store the date index where the data was backfilled from
2,mdl194_booklev_di,It is defined to store the date index where the data was backfilled from
3,mdl194_cashburnrate_di,It is defined to store the date index where the data was backfilled from
4,mdl194_cashc_di,It is defined to store the date index where the data was backfilled from
5,mdl194_cashratio_di,It is defined to store the date index where the data was backfilled from
6,mdl194_cds_1mvol_di,It is defined to store the date index where the data was backfilled from
7,mdl194_cds_1ybeta_di,It is defined to store the date index where the data was backfilled from
8,mdl194_cds_beta_di,It is defined to store the date index where the data was backfilled from
9,mdl194_cds_canbeta_di,It is defined to store the date index where the data was backfilled from
10,mdl194_cds_commodity_di,It is defined to store the date index where the data was backfilled from
11,mdl194_cds_eur_usd_di,It is defined to store the date index where the data was backfilled from
12,mdl194_cds_frabeta_di,It is defined to store the date index where the data was backfilled from
13,mdl194_cds_gerbeta_di,It is defined to store the date index where the data was backfilled from
14,mdl194_cds_gndebt_di,It is defined to store the date index where the data was backfilled from
15,mdl194_cds_gnvol5wavg_di,It is defined to store the date index where the data was backfilled from
16,mdl194_cds_gnvol5wchg_di,It is defined to store the date index where the data was backfilled from
17,mdl194_cds_itabeta_di,It is defined to store the date index where the data was backfilled from
18,mdl194_cds_japbeta_di,It is defined to store the date index where the data was backfilled from
19,mdl194_cds_porbeta_di,It is defined to store the date index where the data was backfilled from
20,mdl194_cds_probdefault1y_di,It is defined to store the date index where the data was backfilled from
21,mdl194_cds_probdefault5y_di,It is defined to store the date index where the data was backfilled from
22,mdl194_cds_ps_rank1m_di,It is defined to store the date index where the data was backfilled from
23,mdl194_cds_ps_rank5d_di,It is defined to store the date index where the data was backfilled from
24,mdl194_cds_ps_reg3_di,It is defined to store the date index where the data was backfilled from
25,mdl194_cds_spabeta_di,It is defined to store the date index where the data was backfilled from
26,mdl194_cds_tier_di,It is defined to store the date index where the data was backfilled from
27,mdl194_cds_ukbeta_di,It is defined to store the date index where the data was backfilled from
28,mdl194_cds_usbeta_di,It is defined to store the date index where the data was backfilled from
29,mdl194_cfleverage_di,It is defined to store the date index where the data was backfilled from
30,mdl194_chg12mtotdebt_di,It is defined to store the date index where the data was backfilled from
31,mdl194_chg3ycfast_di,It is defined to store the date index where the data was backfilled from
32,mdl194_chgshare_di,It is defined to store the date index where the data was backfilled from
33,mdl194_curratio_di,It is defined to store the date index where the data was backfilled from
34,mdl194_days_to_cover_di,It is defined to store the date index where the data was backfilled from
35,mdl194_div5yg_di,It is defined to store the date index where the data was backfilled from
36,mdl194_dmd_supply_di,It is defined to store the date index where the data was backfilled from
37,mdl194_earnshortfall_di,It is defined to store the date index where the data was backfilled from
38,mdl194_ebitdadebt_di,It is defined to store the date index where the data was backfilled from
39,mdl194_ebitdadebtchg_di,It is defined to store the date index where the data was backfilled from
40,mdl194_ebitdaev_di,It is defined to store the date index where the data was backfilled from
41,mdl194_fc_fqsurstd_di,It is defined to store the date index where the data was backfilled from
42,mdl194_fc_numrevy1_di,It is defined to store the date index where the data was backfilled from
43,mdl194_gear_di,It is defined to store the date index where the data was backfilled from
44,mdl194_id_2adpmoc_sdc,It is defined to store the date index where the data was backfilled from
45,mdl194_id_2vd_adpmoc_sdc,It is defined to store the date index where the data was backfilled from
46,mdl194_id_2vd_voctni_sdc,It is defined to store the date index where the data was backfilled from
47,mdl194_id_2voctni_sdc,It is defined to store the date index where the data was backfilled from
48,mdl194_id_ad,It is defined to store the date index where the data was backfilled from
49,mdl194_id_adpmoc,It is defined to store the date index where the data was backfilled from
50,mdl194_id_aoer,It is defined to store the date index where the data was backfilled from
51,mdl194_id_aor,It is defined to store the date index where the data was backfilled from
52,mdl194_id_dcc,It is defined to store the date index where the data was backfilled from
53,mdl194_id_dtsm1_rd,It is defined to store the date index where the data was backfilled from
54,mdl194_id_dtsm1_rd_sdc,It is defined to store the date index where the data was backfilled from
55,mdl194_id_ed,It is defined to store the date index where the data was backfilled from
56,mdl194_id_fcghc,It is defined to store the date index where the data was backfilled from
57,mdl194_id_gtl,It is defined to store the date index where the data was backfilled from
58,mdl194_id_htrgm1ng_sdc,It is defined to store the date index where the data was backfilled from
59,mdl194_id_htrgy1ng_sdc,It is defined to store the date index where the data was backfilled from
60,mdl194_id_idb,It is defined to store the date index where the data was backfilled from
61,mdl194_id_irl_sdc,It is defined to store the date index where the data was backfilled from
62,mdl194_id_md,It is defined to store the date index where the data was backfilled from
63,mdl194_id_md_sdc,It is defined to store the date index where the data was backfilled from
64,mdl194_id_mrspe_cf,It is defined to store the date index where the data was backfilled from
65,mdl194_id_ox_sdc,It is defined to store the date index where the data was backfilled from
66,mdl194_id_pu,It is defined to store the date index where the data was backfilled from
67,mdl194_id_rmi,It is defined to store the date index where the data was backfilled from
68,mdl194_id_rp,It is defined to store the date index where the data was backfilled from
69,mdl194_id_rq,It is defined to store the date index where the data was backfilled from
70,mdl194_id_spe1yfvc_cf,It is defined to store the date index where the data was backfilled from
71,mdl194_id_spefcn,It is defined to store the date index where the data was backfilled from
72,mdl194_id_tni_ths,It is defined to store the date index where the data was backfilled from
73,mdl194_id_tqe_sdc,It is defined to store the date index where the data was backfilled from
74,mdl194_id_voctni,It is defined to store the date index where the data was backfilled from
75,mdl194_id_xiv_sdc,It is defined to store the date index where the data was backfilled from
76,mdl194_id_y1dpghcd1_sdc,It is defined to store the date index where the data was backfilled from
77,mdl194_id_y1dpghcd5_sdc,It is defined to store the date index where the data was backfilled from
78,mdl194_id_y1dpghcm1_sdc,It is defined to store the date index where the data was backfilled from
79,mdl194_id_y5dpghcd1_sdc,It is defined to store the date index where the data was backfilled from
80,mdl194_id_y5dpghcd5_sdc,It is defined to store the date index where the data was backfilled from
81,mdl194_id_y5dpghcm1_sdc,It is defined to store the date index where the data was backfilled from
82,mdl194_indrelcroe_di,It is defined to store the date index where the data was backfilled from
83,mdl194_indrelrtn4w_di,It is defined to store the date index where the data was backfilled from
84,mdl194_indrelrtn5d_di,It is defined to store the date index where the data was backfilled from
85,mdl194_netdebt_di,It is defined to store the date index where the data was backfilled from
86,mdl194_nopatmargin_di,It is defined to store the date index where the data was backfilled from
87,mdl194_ocfratio_di,It is defined to store the date index where the data was backfilled from
88,mdl194_ohlsonscore_di,It is defined to store the date index where the data was backfilled from
89,mdl194_ollev_di,It is defined to store the date index where the data was backfilled from
90,mdl194_opincltd_di,It is defined to store the date index where the data was backfilled from
91,mdl194_oplev_di,It is defined to store the date index where the data was backfilled from
92,mdl194_pc_ratio_di,It is defined to store the date index where the data was backfilled from
93,mdl194_ratrev6m_di,It is defined to store the date index where the data was backfilled from
94,mdl194_reinrate_di,It is defined to store the date index where the data was backfilled from
95,mdl194_rev3my2std_di,It is defined to store the date index where the data was backfilled from
96,mdl194_roic_di,It is defined to store the date index where the data was backfilled from
97,mdl194_stockrating_di,It is defined to store the date index where the data was backfilled from
98,mdl194_ticker_di,It is defined to store the date index where the data was backfilled from
99,mdl194_totalcov_di,It is defined to store the date index where the data was backfilled from
100,mdl194_visiratio_di,It is defined to store the date index where the data was backfilled from
101,mdl194_vol_di,It is defined to store the date index where the data was backfilled from
102,mdl194_voldiff_pc_di,It is defined to store the date index where the data was backfilled from
103,mdl194_yoychgcr_di,It is defined to store the date index where the data was backfilled from
104,mdl194_yoychgda_di,It is defined to store the date index where the data was backfilled from
