,id,description
0,anl69_aeps_best_crncy_iso,Currency (ISO)
1,anl69_aeps_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
2,anl69_aeps_best_cur_fiscal_semi_year_period,Current Fiscal Semi-Year Period
3,anl69_aeps_best_cur_fiscal_year_period,Current Fiscal Year Period Date
4,anl69_aeps_best_eeps_cur_yr,Est Earnings per share Curr Year
5,anl69_aeps_best_eeps_nxt_yr,Est Earnings per share Next Year
8,anl69_aeps_expected_report_dt,Expected Earnings Report Date
10,anl69_aeps_expected_report_time,Expected Earnings Report Time
14,anl69_analyst_best_crncy_iso,Currency (ISO)
15,anl69_analyst_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
16,anl69_analyst_best_cur_fiscal_semi_year_period,Current Fiscal Semi-Year Period
17,anl69_analyst_best_cur_fiscal_year_period,Current Fiscal Year Period Date
18,anl69_analyst_best_eeps_cur_yr,Est Earnings per share Curr Year
19,anl69_analyst_best_eeps_nxt_yr,Est Earnings per share Next Year
22,anl69_analyst_expected_report_dt,Expected Earnings Report Date
24,anl69_analyst_expected_report_time,Expected Earnings Report Time
31,anl69_best_crncy_iso,Currency (ISO)
33,anl69_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
34,anl69_best_cur_fiscal_semi_year_period,Current Fiscal Semi-Year Period
35,anl69_best_cur_fiscal_year_period,Current Fiscal Year Period Date
66,anl69_best_eeps_cur_yr,Est Earnings per share Curr Year
67,anl69_best_eeps_nxt_yr,Est Earnings per share Next Year
202,anl69_bps_best_crncy_iso,Currency (ISO)
203,anl69_bps_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
204,anl69_bps_best_cur_fiscal_semi_year_period,Current Fiscal Semi-Year Period
205,anl69_bps_best_cur_fiscal_year_period,Current Fiscal Year Period Date
206,anl69_bps_best_eeps_cur_yr,Est Earnings per share Curr Year
207,anl69_bps_best_eeps_nxt_yr,Est Earnings per share Next Year
210,anl69_bps_expected_report_dt,Expected Earnings Report Date
212,anl69_bps_expected_report_time,Expected Earnings Report Time
226,anl69_bpss_best_crncy_iso,Currency (ISO)
227,anl69_bpss_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
228,anl69_bpss_best_cur_fiscal_semi_year_period,Current Fiscal Semi-Year Period
229,anl69_bpss_best_cur_fiscal_year_period,Current Fiscal Year Period Date
230,anl69_bpss_best_eeps_cur_yr,Est Earnings per share Curr Year
231,anl69_bpss_best_eeps_nxt_yr,Est Earnings per share Next Year
234,anl69_bpss_expected_report_dt,Expected Earnings Report Date
235,anl69_bpss_expected_report_time,Expected Earnings Report Time
238,anl69_cest_best_crncy_iso,Currency (ISO)
239,anl69_cest_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
