,id,description
0,mdl192_altmanz_di,Altman Z Score
1,mdl192_benchmark_fee_di,Implied Loan Rate
2,mdl192_booklev_di,Book Leverage
3,mdl192_cashburnrate_di,Cash Burn Rate
4,mdl192_cashc_di,Cash Cycle
5,mdl192_cashratio_di,Cash & Equivalents-to-Current Liabilities
6,mdl192_cds_1mvol_di,1-month CDS Spread Change Volatility (Tenor=5Y)
7,mdl192_cds_1ybeta_di,1-year CDS Spread Change Beta (Tenor=5Y)
8,mdl192_cds_beta_di,60-month CDS Spread Change Beta (Tenor=5Y)
9,mdl192_cds_canbeta_di,Sovereign Sensitivity - Canada
10,mdl192_cds_eurusd_di,Exchange Rate Sensitivity - EUR/USD
11,mdl192_cds_frabeta_di,Sovereign Sensitivity - France
12,mdl192_cds_gerbeta_di,Sovereign Sensitivity - Germany
13,mdl192_cds_gnd_di,DTCC Gross Notional Volumes to Total Debt
14,mdl192_cds_gnvol5wavg_di,5-week Moving Average of DTCC Weekly Gross Notional Volumes
15,mdl192_cds_gnvol5wchg_di,5-week Change in DTCC Weekly Gross Notional Volumes
16,mdl192_cds_itabeta_di,Sovereign Sensitivity - Italy
17,mdl192_cds_japbeta_di,Sovereign Sensitivity - Japan
18,mdl192_cds_op_di,Oil Price Sensitivity
19,mdl192_cds_pd1y_di,Probability of Default (Tenor=1Y)
20,mdl192_cds_pd5y_di,Probability of Default (Tenor=5Y)
21,mdl192_cds_porbeta_di,Sovereign Sensitivity - Portugal
22,mdl192_cds_ps_rank1m_di,1-month Momentum Divergence
23,mdl192_cds_ps_rank5d_di,5-day Momentum Divergence
24,mdl192_cds_ps_reg3_di,Value Divergence
25,mdl192_cds_spabeta_di,Sovereign Sensitivity - Spain
26,mdl192_cds_tier_di,CDS Tier
27,mdl192_cds_ukbeta_di,Sovereign Sensitivity - United Kingdom
28,mdl192_cds_usbeta_di,Sovereign Sensitivity - United States
29,mdl192_cfleverage_di,Cash Flow Leverage
30,mdl192_chg12mtotdebt_di,12 Month Change in Total Debt
31,mdl192_chg3ycfast_di,3-yr Change in Assets-adj TTM Cash Flow
32,mdl192_chgshare_di,Percent Change in Shares Outstanding
33,mdl192_curratio_di,Current Ratio
34,mdl192_days_to_cover_di,Days to Cover
35,mdl192_div5yg_di,5-Year Dividend Growth Rate
36,mdl192_dmd_supply_di,Demand Supply Ratio
37,mdl192_earnshortfall_di,Earnings Shortfall
